time,X_value,Y_value,Z_value
0,2.3031,1.9848,-1.3822
0.0602,2.1858,1.9438,-1.79
0.121,1.7817,1.9401,-2.8836
0.1802,2.5513,2.091,-2.5701
0.2412,1.5432,1.9946,-2.9035
0.3001,2.3333,1.9214,-4.7277
0.3603,4.956,2.3592,-8.5289
0.4214,8.1637,3.5173,-13.4529
0.4802,8.8939,4.6776,-15.4467
0.54,6.5972,12.562,-13.1557
0.6019,6.5865,54.004,-30.1284
0.6607,-6.7034,10.6065,8.5113
0.7196,-3.7502,6.9468,13.0641
0.7802,-0.2965,6.6199,8.6445
0.84,-1.4946,2.6045,7.2376
0.8997,-0.0737,1.47,3.3455
0.96,-0.3324,-0.0353,2.1365
1.0197,0.5849,-0.252,0.5645
1.0815,0.4198,0.1614,0.1826
1.1404,-0.0405,0.4757,-0.5434
1.2,-0.0781,-0.0627,0.1867
