time,X_value,Y_value,Z_value
0,-0.025,0.1047,-0.4285
0.0598,0.0001,-0.0223,-0.6297
0.1197,-0.0356,-0.0216,-1.1438
0.1802,-0.4588,-0.2073,-1.5009
0.2398,-0.6064,-0.4514,-1.8467
0.3026,-0.6112,-0.3659,-3.3736
0.3601,-1.0154,-1.5668,-6.9382
0.4198,-3.6483,-6.336,-13.2944
0.4806,-1.0083,-12.6108,-10.8901
0.5398,5.9504,-4.4947,6.114
0.6001,13.0887,75.2374,-9.4884
0.6599,-11.9663,-13.4656,-6.8962
0.7198,6.9837,10.4474,3.7067
0.7801,-3.8229,-4.3939,0.1881
0.8404,-0.7802,2.8265,-0.6252
0.8997,-0.5843,1.5983,0.5155
0.9598,-0.8444,-0.3846,1.3943
1.0195,0.1377,0.9934,0.3777
1.0796,-0.1329,0.1865,0.4421
1.1395,0.9611,-0.0408,0.0086
1.2,0.6627,-0.5743,0.0204
