time,X_value,Y_value,Z_value
0,0.6884,0.7872,0.676
0.0591,0.2898,0.6734,0.315
0.119,-0.037,0.0019,0.2158
0.1788,-0.235,-0.1156,-0.2549
0.2388,0.3505,-0.1595,-0.3213
0.2988,-0.1076,-0.4163,-0.2464
0.3598,-0.4817,0.0368,-0.5089
0.4199,-1.0029,-0.6451,-2.3619
0.4793,-5.5172,-12.3828,-12.1421
0.5395,-5.0597,-15.9146,-13.0058
0.5991,-4.3351,19.0944,-10.2401
0.6591,-10.0526,16.7851,0.6865
0.7205,-3.0526,0.3097,1.0552
0.779,-4.6001,0.5879,2.9149
0.8393,3.1614,3.3669,1.7627
0.899,-2.012,-0.984,1.0488
0.959,1.1205,1.4048,1.181
1.0187,0.0839,-0.5687,0.5304
1.0793,0.6998,-0.4006,0.6015
1.139,0.557,-0.2939,0.4461
1.2009,1.11,-0.1051,0.2487
