time,X_value,Y_value,Z_value
0,1.2249,-0.4468,-0.7703
0.0584,1.8661,0.6954,-1.9028
0.118,1.7425,1.3887,-3.41
0.1786,1.268,1.9151,-5.1459
0.2393,0.0816,2.1775,-7.1955
0.2982,-0.6612,1.7945,-8.0495
0.3584,1.0718,1.9282,-7.6586
0.4184,2.7842,1.2266,-6.3717
0.4784,1.132,0.9175,-6.4416
0.5387,-3.0823,-12.1543,2.3053
0.5989,-2.0806,16.9259,-2.1249
0.6584,-5.9467,11.2751,1.9473
0.7184,-1.6415,-3.7885,4.1944
0.7784,-1.0451,3.355,0.5333
0.8385,0.4891,2.1332,0.5399
0.8984,1.437,0.0763,0.1077
0.9584,1.3864,1.8563,-1.1012
1.0201,0.3935,0.7729,-1.1453
1.0784,0.8417,0.1342,-0.7389
1.1381,-0.3633,0.5792,0.0217
1.1888,0.131,1.2029,0.8413
