time,X_value,Y_value,Z_value
0,-0.116,-0.1213,-0.0453
0.0599,-0.0016,-0.0018,-0.2004
0.1197,-0.145,0.0414,-0.3937
0.1813,-0.0335,-0.2091,-1.1625
0.2409,-0.7989,-0.5683,-2.1021
0.3008,-0.8848,-1.2075,-3.5876
0.3604,-2.1642,-4.2753,-8.9195
0.42,-4.3306,-10.1015,-12.9627
0.4801,2.3064,-17.444,0.5768
0.5402,-0.1186,7.2412,-2.9255
0.5997,-5.2612,36.1836,-2.003
0.6607,-5.5238,-4.3316,-0.0899
0.7204,0.5477,7.3493,3.3613
0.7799,-5.3017,1.1126,-2.4726
0.8399,1.3393,0.0382,1.4814
0.9,1.5011,0.1835,1.6056
0.9598,-2.6298,-0.037,-0.5551
1.0199,1.5322,0.9919,0.4099
1.0797,0.6168,-0.3088,0.485
1.1397,-0.1556,-0.1683,0.0578
1.2007,0.304,0.1312,-0.1618
