time,X_value,Y_value,Z_value
0,0.02,0.0397,0.0768
0.0603,-0.2592,-0.0453,-0.0579
0.1201,-0.0733,0.0025,-0.1529
0.1801,-0.0173,0.0476,-0.2007
0.2404,-0.2945,0.3062,-0.6752
0.3006,-0.1365,0.232,-1.3048
0.3603,-0.2785,-0.0277,-2.8373
0.4212,-2.2415,-3.4056,-11.1178
0.4806,-5.5374,-16.5131,-15.8737
0.5409,6.5032,-5.0081,-10.3083
0.601,-10.8097,33.0973,-49.7603
0.6603,21.1242,1.6212,-1.7369
0.7205,-12.5116,-1.2226,7.0935
0.7811,1.3218,5.0235,5.1393
0.8406,0.863,1.3958,3.5438
0.9004,0.9782,1.7596,3.0991
0.96,1.2064,0.721,1.7665
1.02,0.9606,-0.0288,1.1361
1.0803,0.5659,0.6479,0.4871
1.1404,-0.7601,0.1384,-0.1077
1.2004,-0.3228,-0.1021,-0.2274
