time,X_value,Y_value,Z_value
0,0.7754,-0.2854,-0.16
0.0668,0.9396,0.4207,-1.1696
0.12,0.4711,0.1918,-1.9818
0.1799,-0.1867,-0.2457,-2.6581
0.24,-0.3322,-0.0163,-2.8807
0.3019,-0.5273,0.0841,-2.8864
0.3603,-1.9634,-0.2414,-5.3841
0.4198,-3.5599,-3.7573,-12.3058
0.4799,-6.1228,-14.3057,-18.1341
0.5407,3.5551,-15.3372,-5.6958
0.6002,1.7282,77.5196,-14.5358
0.6626,-25.6258,-6.4315,-2.7929
0.7201,3.9375,6.2619,2.7509
0.7806,-5.7329,-2.5287,-0.0371
0.8402,-1.9278,2.1052,-0.3933
0.8999,-0.969,-0.0995,-0.5106
0.9599,0.2638,1.3843,-0.8923
1.0202,1.3347,-0.4605,0.2261
1.0804,-0.1067,0.4107,0.5293
1.1407,0.7904,0.7925,-0.4942
1.1999,0.1593,-0.6203,0.3818
