time,X_value,Y_value,Z_value
0,0.4826,0.6452,0.3586
0.0592,0.2885,0.6384,-0.0055
0.1192,0.4701,0.7769,-0.509
0.1793,-0.0626,0.4076,-1.2645
0.2396,0.1849,0.6307,-1.6949
0.2992,0.2624,0.6727,-2.4054
0.3604,-0.0732,0.3724,-3.6714
0.4197,-0.3396,-0.6851,-7.3774
0.48,-3.1702,-6.511,-17.3905
0.5392,3.4202,-9.4681,-11.9381
0.5992,15.8903,62.191,-11.589
0.6604,-15.2968,4.9369,5.885
0.7199,1.5715,7.0025,6.5318
0.7792,-0.2747,1.6281,4.2767
0.8394,-1.0142,2.126,1.2582
0.8991,0.3426,0.9495,1.7898
0.9605,-0.4632,0.0831,0.9508
1.0194,0.563,-0.0635,1.5461
1.0791,0.7347,-0.5338,1.3242
1.1408,0.5601,-0.1074,0.4535
1.1992,0.4714,0.0939,0.1226
