time,X_value,Y_value,Z_value
0,1.7575,3.2436,1.6597
0.0567,1.7234,3.2887,0.8201
0.1165,1.4789,2.8922,0.0387
0.1765,1.3729,2.6408,-0.8617
0.2365,1.1535,2.4666,-1.3802
0.2968,1.4709,2.8349,-2.4374
0.3565,2.4153,3.3281,-4.0562
0.4167,3.0307,4.0704,-6.3208
0.4765,3.2639,5.614,-14.1083
0.537,7.4516,10.5293,-19.1069
0.5964,7.1375,31.6949,-12.5449
0.6563,-35.8431,9.1558,11.3476
0.7169,-5.6554,13.4339,13.1574
0.7773,5.9994,11.5799,11.1225
0.8366,-4.3418,1.5473,7.1971
0.8964,-0.6001,3.7731,5.0591
0.9566,-0.499,2.2676,3.2456
1.0166,-0.2918,1.5775,2.0705
1.0768,-0.2994,1.3448,1.474
1.1366,0.345,1.1269,1.1648
1.1969,0.3544,0.5488,0.6723
