time,X_value,Y_value,Z_value
0,0.8079,1.1741,-0.3602
0.0601,0.8573,1.6245,-0.6918
0.1202,0.8268,1.3196,-1.1061
0.1803,0.7891,1.325,-1.1931
0.2403,0.6601,1.3253,-1.4345
0.3003,0.884,1.2278,-2.2904
0.3602,1.1641,1.5318,-4.1874
0.4206,1.9379,2.5892,-8.5874
0.4804,-1.5918,4.4974,-14.4063
0.5402,-2.0166,0.9045,-12.0642
0.6003,13.978,39.8209,-13.4932
0.6607,-4.8582,5.2301,3.6291
0.7208,-4.0642,2.2986,7.8723
0.7799,1.7759,4.3606,3.9488
0.8405,-0.9385,1.4865,3.0772
0.9001,0.4647,1.0833,2.8029
0.96,0.4288,0.9144,1.9972
1.0199,0.1717,0.2924,1.4252
1.0817,0.8547,0.1495,0.676
1.14,0.8963,0.1254,0.2726
1.2002,0.786,0.1878,-0.2098
