time,X_value,Y_value,Z_value
0,-0.3771,0.477,0.4523
0.0603,-0.0762,0.7847,0.3978
0.12,0.2506,1.3827,-0.5712
0.18,0.8136,1.8131,-1.0177
0.2404,0.9586,2.3319,-1.9791
0.3003,1.4957,2.3496,-3.2072
0.3605,1.1151,2.5166,-5.3017
0.42,-0.0753,1.8713,-14.4381
0.4802,3.775,1.8601,-16.0973
0.5398,-2.7947,9.6088,-7.299
0.5917,0.3948,58.3319,-38.1852
0.6496,15.8508,1.4028,2.5991
0.7102,-8.6303,-0.7889,10.6896
0.7696,4.2204,4.8326,5.4161
0.8299,-0.5862,0.1342,3.7652
0.8899,0.2905,1.6129,2.7176
0.9501,-0.1693,0.8337,1.764
1.0096,0.866,0.4893,1.208
1.0702,0.3455,0.2874,0.8137
1.1299,0.2547,0.2059,0.335
1.1899,0.7591,0.2161,-0.0508
