time,X_value,Y_value,Z_value
Started:,12月 09 2019,01:17:01:471, 
0.0000,0.00000,0.00000,0.00000
0.0033,0.90830,-0.07150,0.10110
0.0627,-0.61750,0.07340,-0.24480
0.1232,-0.00120,0.26210,-0.28530
0.1829,-0.92850,1.06840,-0.03860
0.2421,-1.64640,0.60720,0.44480
0.3024,-0.72340,-1.10920,0.78520
0.3625,1.44420,-1.24260,0.28600
0.4225,1.04340,-0.43380,-0.22040
0.4822,-0.41680,-0.42220,-0.54420
0.5424,0.52980,-0.33480,-1.07210
0.6022,0.53770,0.51330,-1.37750
0.6627,0.12140,0.03930,-1.13070
0.7230,-0.23400,-0.68000,-1.09730
0.7822,0.20840,-0.87550,-0.60870
0.8423,-0.75940,-0.55340,-0.43280
0.9021,-0.24210,-0.42010,-0.06770
0.9627,0.30720,0.17070,0.25950
1.0223,-0.55400,0.53070,0.33310
1.0820,-0.12570,0.45000,0.59880
1.1423,0.44840,0.52250,0.80310
1.2027,-0.66720,-0.05450,0.91210
1.2623,-0.24810,0.00000,0.48910
1.3261,-0.25090,0.01510,0.05050
1.3826,0.23910,0.04130,0.01780
1.4421,-0.05860,-0.17430,0.16510
1.5026,0.67270,0.03330,-0.17170
1.5622,0.03930,0.13290,-0.79090
1.6226,0.19310,-0.57740,-0.40220
1.6822,-0.28610,-0.08290,-0.30260
1.7422,-0.38300,0.13670,0.18010
1.8065,-0.34230,-0.19000,-0.13400
1.8625,0.14560,0.04350,0.02980
1.9268,0.11190,0.29800,0.21630
1.9822,0.28470,0.57480,0.39830
2.0459,0.25160,0.73260,0.58940
2.1020,0.41010,0.32760,0.76820
2.1623,0.31250,0.87410,0.97770
2.2281,0.43380,0.82260,1.17040
2.2825,-0.08200,0.39540,1.00530
2.3421,0.50900,0.91290,0.82280
2.4054,0.96030,0.08150,1.10080
2.4620,0.23850,-0.11900,0.23600
2.5221,0.77540,-0.28540,-0.16000
2.5889,0.93960,0.42070,-1.16960
2.6421,0.47110,0.19180,-1.98180
2.7020,-0.18670,-0.24570,-2.65810
2.7621,-0.33220,-0.01630,-2.88070
2.8240,-0.52730,0.08410,-2.88640
2.8824,-1.96340,-0.24140,-5.38410
2.9419,-3.55990,-3.75730,-12.30580
3.0020,-6.12280,-14.30570,-18.13410
3.0628,3.55510,-15.33720,-5.69580
3.1223,1.72820,77.51960,-14.53580
3.1847,-25.62580,-6.43150,-2.79290
3.2422,3.93750,6.26190,2.75090
3.3027,-5.73290,-2.52870,-0.03710
3.3623,-1.92780,2.10520,-0.39330
3.4220,-0.96900,-0.09950,-0.51060
3.4820,0.26380,1.38430,-0.89230
3.5423,1.33470,-0.46050,0.22610
3.6025,-0.10670,0.41070,0.52930
3.6628,0.79040,0.79250,-0.49420
3.7220,0.15930,-0.62030,0.38180
3.7827,-0.85810,0.15690,-1.05750
3.8420,0.23600,0.68410,-1.03100
3.9027,-0.71470,0.24280,0.00240
3.9626,0.51460,1.50330,-0.42810
4.0221,0.41890,-1.17010,-0.23760
4.0823,-0.40030,-1.01310,0.72940
4.1437,0.03450,1.30680,0.25640
4.2022,0.61680,0.46910,-0.73900
4.2620,0.25310,-0.93800,-0.51780
4.3263,0.59680,0.52630,1.18170
4.3827,-0.66030,-1.71390,1.84030
4.4421,-0.29310,-2.79490,1.09130
4.5028,-1.09020,-0.92220,1.39320
4.5620,-0.87640,-1.23460,-0.36470
4.6226,0.03780,-1.56030,0.48560
4.6820,-1.45020,-1.46950,0.34020
4.7425,0.08510,-0.65370,-0.04160
4.8020,-0.58170,-0.50580,-0.46460
4.8620,-0.31270,-0.31190,-0.33190
4.9223,-0.00200,-0.28010,-0.32020
4.9828,-0.33100,-0.09450,-0.32760
5.0423,-0.09370,-0.06450,0.17060
5.1023,-0.39140,-0.03690,0.03190
5.1624,0.10220,-0.01340,0.31550
5.2224,-0.30180,-0.04350,0.04410
5.2826,-0.10370,-0.08990,0.17580
5.3421,-0.10130,0.09960,0.09830
5.4043,-0.13730,0.08380,-0.06260
5.4682,-0.03140,0.02600,0.01930
5.5224,0.01520,0.15430,0.05020
5.5874,-0.22160,-0.17270,0.03030
5.6420,0.20140,-0.00830,0.19720
5.7020,0.00860,0.18930,-0.03470
5.7682,0.10700,0.18920,-0.01730
5.8239,0.22920,0.05690,0.19700
5.8820,0.09470,0.20030,0.24400
5.9424,-0.02110,0.22310,0.21240
6.0021,0.14220,-0.12170,0.27160
6.0623,0.01600,0.61850,0.14730
6.1225,-0.51560,0.12850,-0.24960
6.1827,0.39030,0.00140,0.17850
6.2464,-0.04990,0.24640,0.02250
6.3019,-0.24720,-0.10660,0.09810
6.3619,0.31410,0.12160,0.11180
6.4227,-0.17670,0.00000,-0.16190
6.4820,0.01260,0.02400,-0.15120
6.5421,-0.05870,0.07550,-0.18010
6.6020,-0.24060,0.03120,0.10030
6.6620,-0.17290,0.04840,0.08120
6.7221,0.21130,0.31470,0.09410
6.7820,0.00030,0.12020,0.11160
6.8420,-0.08070,-0.00300,0.04360
6.9070,0.14800,-0.00940,0.11290
6.9620,-0.19440,0.16820,0.05300
7.0237,0.09510,0.18770,0.08100
7.0820,-0.33960,0.12800,-0.19950
7.1323,0.18790,0.04390,0.00350
7.1922,-0.07090,0.01290,0.13880
