time,X_value,Y_value,Z_value
0,4.7785,2.6666,3.1416
0.0593,5.1229,4.437,1.6289
0.1204,4.4106,4.9629,-0.3766
0.1798,3.0914,4.777,-1.8968
0.2413,2.4393,4.7745,-3.0552
0.2998,1.9412,4.6687,-4.528
0.3612,2.4267,4.8956,-6.7209
0.4202,4.5406,6.7235,-10.7323
0.4818,8.8565,10.2381,-16.0995
0.5454,4.9032,10.2008,-19.1982
0.5993,28.3285,58.5689,-11.0426
0.6596,-25.1637,20.5232,14.9262
0.7197,-16.5235,13.2293,17.3119
0.7793,3.0598,10.4104,13.7972
0.8397,-2.7693,3.0332,8.7404
0.8996,0.315,4.9202,5.6249
0.9601,-0.7647,1.6474,2.7838
1.0195,0.4403,1.367,0.533
1.0798,1.4318,1.1115,0.0364
1.1393,0.8347,0.457,-0.1064
1.1992,0.3185,0.2393,-0.2343
