time,X_value,Y_value,Z_value
0,1.1818,-0.521,2.1272
0.0595,2.2242,1.2628,1.9001
0.1193,3.2988,3.9686,1.0388
0.18,2.3713,4.7874,-0.904
0.2408,2.208,4.4544,-2.451
0.2997,1.6271,5.0947,-4.2932
0.3597,2.7176,5.9611,-7.8061
0.4201,3.6846,7.8529,-13.8807
0.4798,-0.2674,8.6084,-17.1556
0.54,4.6641,9.849,-14.1023
0.5998,-1.0434,56.1632,-23.3074
0.6596,19.0319,15.7284,9.3469
0.7198,-9.7281,3.048,11.7147
0.7795,-2.9144,4.8543,6.3383
0.8403,-0.5207,4.0278,4.5472
0.8993,-0.953,2.4747,4.3421
0.9604,-1.0825,1.1109,3.1498
1.0209,0.9461,0.559,3.5028
1.0795,1.1587,0.8075,1.7002
1.1396,1.4446,0.2181,0.5973
1.1998,0.1691,0.1874,-0.0224
