time,X_value,Y_value,Z_value
Started:,12月 09 2019,01:21:52:931, 
0.0000,0.00000,0.00000,0.00000
0.0024,0.13470,-0.00170,0.04810
0.0621,-0.23380,-0.11140,0.09470
0.1222,-0.12570,-0.09770,-0.04910
0.1826,-0.06380,-0.09160,-0.13560
0.2419,-0.02040,-0.16920,0.03130
0.3019,0.02760,0.00250,-0.01240
0.3523,0.09230,-0.04860,-0.04840
0.4125,0.06700,-0.20150,0.10740
0.4720,-0.13280,-0.06600,0.06890
0.5322,-0.13680,-0.22600,0.24410
0.5920,-0.01030,-0.28700,0.31420
0.6518,-0.15170,-0.38090,0.30210
0.7120,-0.01480,-0.23330,0.12790
0.7718,0.29480,-0.05580,-0.16270
0.8324,0.25810,-0.10330,-0.23930
0.8916,0.01410,-0.02700,-0.17890
0.9516,0.09710,0.15810,-0.16720
1.0116,0.11220,0.08850,-0.07930
1.0720,0.16600,0.11010,-0.18840
1.1323,0.09120,0.16150,-0.08390
1.1921,-0.01110,0.25570,-0.00850
1.2517,-0.19050,0.24950,0.05150
1.3120,0.03650,0.23670,0.15980
1.3719,0.02140,0.10270,0.15750
1.4316,0.10610,-0.15770,-0.09550
1.4923,0.08830,-0.17710,-0.11920
1.5518,0.12020,-0.09600,-0.25280
1.6127,0.06700,-0.22180,-0.30090
1.6716,0.10510,-0.18710,-0.08960
1.7316,-0.06210,-0.17620,-0.20820
1.7919,-0.09990,-0.19490,-0.18930
1.8520,0.00670,-0.11310,-0.10360
1.9116,0.08900,0.08920,-0.28700
1.9716,-0.05760,0.03580,-0.46390
2.0319,0.18330,0.33900,-0.44000
2.0920,0.03820,0.28980,-0.25400
2.1516,0.01290,0.37580,0.39200
2.2122,0.23880,0.62770,0.70430
2.2617,0.02680,0.08120,0.87920
2.3216,-0.23030,-0.10760,0.67060
2.3816,-0.09900,0.03030,0.68230
2.4419,0.11060,-0.09620,0.56010
2.5019,0.17150,0.00320,0.50500
2.5616,-0.04880,0.14480,0.27850
2.6219,0.42070,0.31230,-0.08890
2.6821,0.41230,0.08370,-0.34690
2.7422,0.28200,0.24090,-0.50590
2.8017,0.40660,0.06160,-0.64800
2.8637,0.29900,0.06870,-0.41850
2.9216,0.17090,-0.02160,-0.31320
2.9820,-0.08070,-0.35070,-0.16950
3.0417,-0.10470,-0.29860,-0.43220
3.1016,-0.03980,-0.34840,-0.46410
3.1620,-0.12770,-0.43620,-0.55160
3.2221,-0.12850,-0.22750,-0.44750
3.2818,-0.03360,-0.16160,-0.25340
3.3417,-0.12850,-0.13640,-0.26450
3.4017,0.07840,0.07620,-0.15680
