time,X_value,Y_value,Z_value
0,1.8723,3.4832,0.0967
0.0601,1.0648,3.4507,-1.0496
0.1198,1.6015,2.3366,-1.5751
0.1798,1.2441,2.1549,-2.2311
0.2399,1.162,1.9874,-2.4791
0.3002,1.6097,2.3993,-2.5447
0.3603,1.8135,2.9188,-2.6266
0.4198,1.7905,3.1884,-4.8503
0.4797,-2.7912,5.9311,-14.8269
0.5401,2.7095,1.7205,-18.5679
0.5996,10.0027,50.549,-7.8856
0.6598,-26.0565,0.585,19.9569
0.7202,-3.406,10.5178,12.8961
0.7795,2.3118,5.1036,6.2579
0.8402,-2.7288,2.2665,3.9923
0.9001,1.2629,2.3864,2.7801
0.9498,-0.0221,1.8127,2.3984
1.0094,0.7681,0.8561,2.1058
1.0697,0.6472,0.7034,1.6788
1.1297,0.5678,0.7305,1.4149
1.1898,0.2063,0.546,0.6258
