time,X_value,Y_value,Z_value
Started:,12月 09 2019,01:54:20:454, 
0.0000,0.00000,0.00000,0.00000
0.0019,-0.00950,-0.01380,0.02980
0.0611,0.17490,-0.03190,0.01090
0.1207,0.03850,0.02590,-0.01530
0.1809,0.01870,-0.03100,0.03130
0.2413,0.04480,-0.03250,0.02580
0.3008,0.01050,-0.17560,0.04880
0.3614,0.10830,-0.35480,0.19890
0.4209,-0.04090,-0.62280,0.28410
0.4810,-0.01740,-0.98290,0.42910
0.5410,0.30240,-1.01330,0.45990
0.6007,0.22930,-1.12240,0.53880
0.6605,0.21650,-0.78410,0.29660
0.7208,0.31110,-0.44830,0.40820
0.7805,0.20700,-0.49280,0.30030
0.8404,0.50540,-0.16900,0.37510
0.9012,0.24940,-0.02020,0.07800
0.9605,0.49220,0.46670,-0.38030
1.0204,0.29220,0.66820,-0.57160
1.0807,0.41590,0.85730,-0.54500
1.1405,0.34360,0.95410,-0.29160
1.2005,0.45460,0.70280,0.00830
1.2607,0.26260,0.46520,0.07930
1.3211,0.12410,0.36930,0.09080
1.3808,-0.02590,0.15000,0.07110
1.4405,-0.10700,-0.00450,0.03050
1.5008,0.03970,0.03540,0.00520
1.5608,0.02930,0.08450,-0.05360
1.6209,0.09580,0.18860,-0.02610
1.6810,0.11150,0.20900,0.02710
1.7402,0.02000,0.03970,0.07680
1.8005,-0.25920,-0.04530,-0.05790
1.8603,-0.07330,0.00250,-0.15290
1.9203,-0.01730,0.04760,-0.20070
1.9806,-0.29450,0.30620,-0.67520
2.0408,-0.13650,0.23200,-1.30480
2.1005,-0.27850,-0.02770,-2.83730
2.1614,-2.24150,-3.40560,-11.11780
2.2208,-5.53740,-16.51310,-15.87370
2.2811,6.50320,-5.00810,-10.30830
2.3412,-10.80970,33.09730,-49.76030
2.4005,21.12420,1.62120,-1.73690
2.4607,-12.51160,-1.22260,7.09350
2.5213,1.32180,5.02350,5.13930
2.5808,0.86300,1.39580,3.54380
2.6406,0.97820,1.75960,3.09910
2.7002,1.20640,0.72100,1.76650
2.7602,0.96060,-0.02880,1.13610
2.8205,0.56590,0.64790,0.48710
2.8806,-0.76010,0.13840,-0.10770
2.9406,-0.32280,-0.10210,-0.22740
3.0010,-0.40080,-0.47410,-0.30510
3.0616,-0.18400,0.04460,-0.28430
3.1206,-0.52740,0.07650,-0.27770
3.1809,-0.17540,-0.21520,-0.07450
3.2424,-0.32100,-0.06050,0.08620
3.3003,-0.15870,-0.05560,-0.10450
3.3611,-0.07200,-0.02450,-0.06350
3.4210,-0.00620,0.06150,0.02550
3.4805,-0.04180,-0.04000,0.05160
3.5403,-0.12220,0.14690,0.10620
3.6013,-0.00680,0.10570,0.07890
3.6605,-0.12210,0.10250,0.11760
3.7233,-0.02300,0.29830,-0.05300
3.7806,-0.16210,0.29420,0.01870
3.8408,-0.10970,0.40610,0.04280
3.9002,-0.60260,0.87370,-0.18750
3.9605,-0.57610,1.15390,-0.29050
4.0207,-0.46810,1.02080,-0.28190
4.0808,-0.94770,1.17210,-0.50010
4.1410,-0.01140,1.22780,-0.29120
4.2007,-0.36100,0.15910,-0.22570
4.2602,0.26310,-0.21550,0.17730
4.3213,-0.04760,-0.43460,0.19300
4.3812,0.23540,0.07480,0.01160
4.4409,0.50190,0.05500,-0.46920
4.5010,0.71880,-1.25200,0.18460
4.5608,0.68010,-1.31650,0.28420
4.6216,0.37070,-1.43320,0.74710
4.6805,0.72110,-0.43440,0.52400
4.7403,0.29480,-0.61020,0.47290
4.8003,0.07290,-0.36180,0.22850
4.8602,0.28290,-0.21950,0.06950
4.9206,0.04380,-0.52310,0.08810
4.9811,0.20840,-0.36530,0.06250
5.0415,0.06220,-0.19930,0.17900
5.1002,-0.04130,-0.08270,0.13770
5.1610,-0.09370,0.02500,0.21620
5.2212,-0.20320,0.13330,0.06640
5.2808,-0.29050,-0.04320,0.09490
5.3404,-0.16510,-0.08790,0.05800
5.4008,-0.10130,-0.03980,0.05350
5.4602,-0.30770,-0.08340,0.05590
