time,X_value,Y_value,Z_value
Started:,12月 09 2019,01:40:40:824, 
0.0000,0.00000,0.00000,0.00000
0.0055,0.28070,0.17880,0.19330
0.0597,-0.01620,0.14080,0.14650
0.1197,-0.06090,0.09000,0.13650
0.1797,-0.03350,-0.00690,0.08590
0.2394,-0.07400,-0.04670,0.05620
0.2997,0.03880,0.05230,-0.03860
0.3595,-0.06910,-0.06250,-0.03130
0.4195,-0.01780,-0.10580,-0.00140
0.4798,-0.01450,-0.10880,0.03930
0.5394,0.03000,-0.10860,0.10290
0.5995,0.01770,-0.15110,0.04880
0.6598,0.00200,-0.24330,0.01650
0.7198,-0.01980,-0.41270,-0.07810
0.7795,-0.10030,-0.71350,-0.05640
0.8395,0.00370,-0.76080,-0.10460
0.8992,0.44480,-0.50080,0.21370
0.9593,0.24380,-0.13540,0.43060
1.0195,0.13730,0.12700,0.30880
1.0794,-0.07540,0.24620,0.12210
1.1396,0.00220,0.39710,0.17230
1.2029,0.03610,0.24310,0.29360
1.2593,-0.16630,0.03320,0.25050
1.3193,-0.18960,-0.45700,0.61070
1.3793,-0.24220,-0.26460,0.72280
1.4293,0.23230,-0.02730,0.70500
1.4893,0.02330,0.23050,0.37640
1.5501,0.48260,0.64520,0.35860
1.6093,0.28850,0.63840,-0.00550
1.6693,0.47010,0.77690,-0.50900
1.7294,-0.06260,0.40760,-1.26450
1.7897,0.18490,0.63070,-1.69490
1.8493,0.26240,0.67270,-2.40540
1.9105,-0.07320,0.37240,-3.67140
1.9698,-0.33960,-0.68510,-7.37740
2.0301,-3.17020,-6.51100,-17.39050
2.0893,3.42020,-9.46810,-11.93810
2.1493,15.89030,62.19100,-11.58900
2.2105,-15.29680,4.93690,5.88500
2.2700,1.57150,7.00250,6.53180
2.3293,-0.27470,1.62810,4.27670
2.3895,-1.01420,2.12600,1.25820
2.4492,0.34260,0.94950,1.78980
2.5106,-0.46320,0.08310,0.95080
2.5695,0.56300,-0.06350,1.54610
2.6292,0.73470,-0.53380,1.32420
2.6909,0.56010,-0.10740,0.45350
2.7493,0.47140,0.09390,0.12260
2.8096,0.78810,-0.35610,0.14960
2.8695,0.52900,-0.34990,-0.09360
2.9293,0.63770,-0.06700,-0.19230
2.9893,0.26180,-0.08380,-0.06940
3.0493,0.25170,-0.07390,0.06780
3.1095,0.05310,-0.22860,0.12570
3.1693,0.07040,0.04950,-0.04310
3.2295,-0.05310,0.29120,-0.27240
3.2895,0.23440,0.01140,0.03570
3.3492,-0.15810,0.44430,-0.23070
3.4096,-0.01060,0.63800,-0.21770
3.4704,-0.23090,0.56840,-0.18230
3.5293,-0.39820,1.03020,-0.42640
3.5897,-0.39500,1.70820,-0.54170
3.6533,-0.04900,1.51260,-0.42920
3.7093,-0.27300,0.59310,-0.16630
3.7693,-0.46220,-0.44840,0.23450
3.8295,0.94390,0.92810,-0.13930
3.8895,0.24110,0.21970,-0.31190
3.9494,0.23960,-0.31410,0.05410
4.0096,0.14480,-1.17070,0.58430
4.0694,0.15210,-0.63600,0.37740
4.1295,-0.47820,-0.32880,-0.08030
4.1893,0.09860,-0.63060,0.16740
4.2494,0.56890,-0.13530,0.74460
4.3092,0.17870,-0.45080,0.65210
4.3699,0.24840,-0.74770,0.80990
4.4299,0.47050,-0.77220,1.03580
4.4898,0.28670,-0.62010,0.49590
4.5496,0.20680,-0.46600,0.28530
4.6098,0.51120,-0.21700,0.21120
4.6694,0.09570,-0.22170,0.11580
4.7293,0.16630,-0.10440,0.06660
4.7892,0.11870,-0.00320,-0.04900
4.8496,0.11980,-0.00520,-0.05090
4.9106,0.17230,-0.07160,-0.05290
4.9698,0.26900,0.04100,-0.11370
5.0293,0.26000,0.00280,-0.03270
5.0896,0.18440,-0.07710,0.03250
5.1493,0.14900,0.03180,-0.03860
5.2097,0.10140,0.04600,-0.01730
5.2693,0.10060,0.00920,0.02820
5.3293,0.00440,0.12370,0.00440
5.3901,-0.05040,0.15710,-0.14870
5.4493,-0.06200,0.16420,-0.03430
5.5094,-0.11740,0.13980,-0.10090
5.5696,-0.08070,0.14460,-0.04270
5.6296,-0.06620,0.11350,-0.07420
5.6897,-0.04740,0.08540,0.07070
5.7492,-0.02230,0.04590,0.04570
5.8096,-0.01230,-0.01280,0.03870
5.8700,-0.04220,0.00420,0.06440
5.9292,-0.04370,0.01450,0.07890
5.9896,-0.02840,0.07240,0.01360
6.0494,-0.07540,0.03610,-0.04560
6.1097,-0.05010,-0.00330,0.02600
6.1702,-0.13120,0.00630,-0.30940
6.2293,0.27800,0.21230,-0.00860
