time,X_value,Y_value,Z_value
Started:,12月 09 2019,01:20:35:487, 
0.0000,0.00000,0.00000,0.00000
0.0003,0.11320,0.02000,-0.15450
0.0569,-0.11360,-0.01170,-0.13440
0.1164,-0.06910,-0.13600,-0.18630
0.1764,-0.00620,-0.16460,-0.12080
0.2358,-0.06820,0.03680,-0.10450
0.2959,-0.24390,0.03360,0.01750
0.3558,-0.33010,0.16990,0.25100
0.4165,-0.26670,-0.01850,0.65400
0.4758,0.09120,-0.31810,0.64640
0.5363,0.74400,-0.58110,0.47580
0.5960,-0.05300,-0.22520,-0.00300
0.6567,0.06010,-0.18320,-0.06240
0.7061,0.26030,-0.19120,-0.50190
0.7661,0.32100,0.27270,-0.30200
0.8261,-0.21580,0.23930,-0.79630
0.8860,0.40630,0.38550,-0.29690
0.9458,0.25740,0.15390,0.15650
1.0061,0.09380,0.14870,0.14320
1.0664,0.20430,0.06580,-0.13750
1.1260,0.49640,0.15640,-0.27920
1.1858,0.33030,-0.05470,-0.90520
1.2468,-0.67970,-0.51170,-1.65850
1.3078,-0.85320,-0.98650,-1.54310
1.3659,-0.57120,-0.71190,-0.86160
1.4265,-0.68930,-0.71800,-0.23940
1.4855,-0.21970,-0.15480,1.10340
1.5456,0.53710,0.64300,1.63690
1.6060,1.08710,0.98530,1.81550
1.6666,0.52290,0.81140,1.66770
1.7263,0.41330,0.81440,0.97330
1.7856,0.46240,0.64000,0.24190
1.8458,0.50050,0.16650,-0.30790
1.9069,0.43150,0.12170,-0.27230
1.9660,0.48880,0.07980,-0.57050
2.0255,0.25820,0.12140,-0.63400
2.0857,0.30660,-0.04990,-0.93380
2.1456,0.14540,-0.21260,-1.03700
2.2057,-0.12130,-0.09620,-0.97200
2.2656,-0.25060,-0.30730,-0.78760
2.3255,-0.21650,-0.14080,-0.68270
2.3864,-0.03450,-0.16620,-0.39080
2.4462,-0.02340,-0.04120,-0.40180
2.5060,-0.02500,0.10470,-0.42850
2.5658,0.00010,-0.02230,-0.62970
2.6257,-0.03560,-0.02160,-1.14380
2.6862,-0.45880,-0.20730,-1.50090
2.7458,-0.60640,-0.45140,-1.84670
2.8086,-0.61120,-0.36590,-3.37360
2.8661,-1.01540,-1.56680,-6.93820
2.9258,-3.64830,-6.33600,-13.29440
2.9866,-1.00830,-12.61080,-10.89010
3.0458,5.95040,-4.49470,6.11400
3.1061,13.08870,75.23740,-9.48840
3.1659,-11.96630,-13.46560,-6.89620
3.2258,6.98370,10.44740,3.70670
3.2861,-3.82290,-4.39390,0.18810
3.3464,-0.78020,2.82650,-0.62520
3.4057,-0.58430,1.59830,0.51550
3.4658,-0.84440,-0.38460,1.39430
3.5255,0.13770,0.99340,0.37770
3.5856,-0.13290,0.18650,0.44210
3.6455,0.96110,-0.04080,0.00860
3.7060,0.66270,-0.57430,0.02040
3.7659,-0.08920,-0.09120,-0.28370
3.8268,0.05480,0.23910,-0.19120
3.8860,-0.21560,-0.57960,0.08560
3.9458,-0.31890,0.22680,-0.28350
4.0059,-0.45800,-0.06910,-0.13880
4.0659,-0.02400,-0.25020,-0.35900
4.1258,-0.01550,-0.20880,0.09930
4.1859,-0.18610,-0.42030,0.29860
4.2455,-0.06110,-0.11360,0.29370
4.3083,0.04960,-0.22280,0.24660
4.3663,0.01160,-0.39220,0.46890
4.4260,-0.09020,-0.26700,0.35810
4.4857,-0.17940,0.07930,0.04430
4.5460,-0.18480,-0.13830,0.18150
4.6058,-0.14150,-0.11590,0.24510
4.6662,-0.22690,0.01940,0.04820
4.7258,-0.33810,0.02630,0.01660
4.7855,-0.13860,0.02150,0.18370
4.8456,-0.22070,0.26000,-0.04160
4.9062,-0.29010,0.20340,0.06830
4.9665,-0.15310,0.22500,0.10580
5.0260,-0.25650,0.26400,0.01410
5.0857,-0.06370,0.08340,0.10200
5.1460,-0.25160,-0.07290,0.10960
5.2076,-0.35380,0.15850,-0.13060
5.2677,-0.15900,-0.07680,0.10890
5.3261,-0.22650,-0.10490,0.18430
5.3868,0.00830,0.07190,0.05290
