time,X_value,Y_value,Z_value
0,-0.1045,0.1482,-0.3375
0.0602,-0.4438,0.0728,-0.8674
0.1201,-0.0046,0.3975,-0.9958
0.1801,0.1508,0.5577,-1.0077
0.2399,0.4067,0.706,-1.1681
0.2998,0.1771,0.527,-2.0955
0.3598,0.2299,0.5544,-3.9155
0.4204,-1.5245,-3.4001,-13.8798
0.4798,2.259,-5.0624,-17.0482
0.5401,-0.6322,2.1664,-5.3192
0.6,-7.0699,20.9801,-6.4044
0.6599,10.8124,-1.007,7.9776
0.7219,-3.2781,1.2063,4.302
0.7801,1.5028,3.8579,1.9277
0.84,-1.7487,0.602,1.9994
0.8999,1.1255,2.0143,1.5672
0.9603,0.6081,-0.7618,2.1953
1.0203,0.883,-0.4708,1.1226
1.0798,0.9437,-0.0939,0.5933
1.1398,0.7258,0.2277,-0.1712
1.2008,0.2114,0.5844,-0.531
