time,X_value,Y_value,Z_value
0,1.8996,0.6678,-2.7973
0.062,1.5239,0.7252,-4.5246
0.1198,0.9372,0.7237,-4.8054
0.1802,-0.0062,0.3831,-4.5502
0.24,-0.0917,1.1396,-5.7168
0.3,1.8842,1.8161,-7.7831
0.3621,3.7182,1.4299,-8.6409
0.4198,5.8894,1.223,-6.7784
0.4801,0.9658,0.1255,-7.9781
0.5402,-2.2324,-15.8595,3.8158
0.6005,14.2039,80.2148,-6.9002
0.6605,-25.8701,-1.5588,12.577
0.7197,2.9699,7.9162,6.271
0.7797,-4.1458,3.9291,0.5521
0.8401,1.3766,0.8357,4.1599
0.8998,0.2689,2.6791,1.7676
0.96,-0.168,1.861,0.5499
1.0213,-0.0861,1.695,0.6238
1.0801,0.3347,1.3764,0.7407
1.1401,-0.52,1.3224,-0.2183
1.1999,-0.2962,1.0338,-0.5567
