time,X_value,Y_value,Z_value
Started:,12月 09 2019,01:46:00:104, 
0.0000,0.00000,0.00000,0.00000
0.0006,-0.07080,-0.07530,-0.12920
0.0598,0.20260,-0.03230,-0.00300
0.1191,0.12860,0.03100,-0.05880
0.1794,0.05530,0.00590,-0.00110
0.2393,0.04540,0.09780,0.01410
0.2991,0.04050,0.10180,-0.01230
0.3596,0.04460,0.09640,0.04000
0.4205,-0.01000,0.03430,0.01320
0.4793,0.03800,-0.02950,-0.02580
0.5397,0.10350,0.01080,-0.03480
0.5994,0.09970,0.01960,-0.02300
0.6593,0.06680,0.05190,-0.01120
0.7196,0.02290,0.08040,-0.00880
0.7797,0.06080,0.08550,0.01100
0.8394,0.01070,0.04530,0.03110
0.8996,-0.03520,0.04610,0.00020
0.9594,0.06680,0.04230,0.00750
1.0194,0.03920,-0.01760,-0.03350
1.0792,0.06240,-0.00550,-0.03590
1.1400,0.05120,0.02860,-0.02580
1.2023,0.02170,-0.00880,0.00370
1.2592,0.03290,-0.06800,0.01200
1.3191,0.07940,-0.03920,0.03450
1.3794,0.10260,-0.05430,0.03950
1.4398,0.03790,-0.09470,0.04050
1.4999,0.01270,0.06360,-0.03530
1.5599,0.05450,0.06700,-0.02060
1.6194,0.01750,0.02080,-0.00960
1.6793,-0.02910,-0.10190,0.07590
1.7397,0.10390,-0.07780,0.09390
1.7991,0.08410,-0.05750,0.06410
1.8592,0.02230,-0.13300,0.01870
1.9191,0.10630,-0.05340,-0.05020
1.9803,0.04230,-0.15490,0.03290
2.0394,0.19500,-0.21810,0.15890
2.0996,0.16620,-0.31410,0.09390
2.1598,-0.15460,-0.57320,0.06590
2.2197,-0.11900,-0.27620,0.10420
2.2791,0.07860,-0.01970,0.41690
2.3391,0.17790,-0.01560,0.39080
2.3996,0.07180,0.05550,0.24840
2.4602,0.19670,0.03190,0.08150
2.5219,0.32960,-0.02960,0.02990
2.5794,0.14770,0.00340,-0.37140
2.6394,0.13090,-0.14230,-0.34240
2.6998,0.20090,0.32120,-0.16570
2.7594,0.02340,0.08210,-0.07790
2.8195,0.01750,-0.01220,0.19370
2.8792,-0.07280,-0.17640,0.14470
2.9402,-0.11800,-0.17330,0.10940
2.9996,-0.14260,-0.11850,0.17990
3.0591,0.05950,-0.35050,0.35730
3.1194,-0.09680,-0.34850,0.36210
3.1792,0.11160,-0.16810,0.21670
3.2401,-0.06110,-0.43570,0.21900
3.2992,-0.00390,-0.19660,0.24560
3.3597,0.07900,-0.17050,0.32520
3.4194,-0.00260,-0.29100,0.41550
3.4797,-0.09940,-0.56320,0.42670
3.5393,0.57100,-0.24540,0.10740
3.5994,0.38290,-0.03810,0.11210
3.6592,-0.07220,-0.23950,-0.19250
3.7195,-0.10330,-0.44780,0.20660
3.7794,0.83910,0.24510,0.52590
3.8394,0.41230,0.23650,0.47210
3.8996,0.09470,0.09210,0.41630
3.9595,0.08340,0.19150,0.52940
4.0192,0.14600,0.65950,0.54400
4.0797,0.32780,0.95840,0.23020
4.1395,0.37360,1.33530,-0.44530
4.1992,0.46340,1.78140,-1.49490
4.2600,0.87590,2.37470,-2.41580
4.3196,1.42240,2.85280,-3.32300
4.3795,0.98700,3.29900,-3.96500
4.4394,-0.09220,4.43550,-7.78790
4.5000,-3.27720,3.44300,-13.44680
4.5631,0.03000,8.72400,-16.88930
4.6197,-5.48410,39.86380,-35.02600
4.6796,19.11890,8.36620,4.60460
4.7394,-11.37190,0.74020,8.51230
4.7994,3.21970,4.68980,5.99930
4.8597,-2.43310,3.15430,3.12240
4.9192,0.11130,2.08840,3.08980
4.9793,-1.01680,1.40750,2.76040
5.0393,0.28190,1.09410,1.97620
5.0996,0.60380,0.76860,1.26380
5.1592,0.94320,0.53540,0.53290
5.2192,0.56290,-0.07740,0.13900
5.2797,0.36410,-0.16330,-0.21180
5.3414,0.35990,-0.19370,-0.30010
5.3997,0.12980,-0.18060,-0.39950
5.4599,-0.17320,-0.16880,-0.35420
5.5195,-0.31690,-0.01900,-0.21990
5.5791,-0.55780,-0.04790,0.05090
5.6397,-0.47050,0.07160,0.21080
5.6992,-0.27050,0.06880,0.34000
5.7595,-0.22190,0.30160,0.37200
5.8214,-0.26970,0.51550,0.29410
5.8794,-0.02130,0.80070,0.30680
5.9401,0.13340,0.63660,0.27210
5.9994,-0.02730,0.22920,-0.03320
6.0592,-0.03830,0.13400,0.34200
6.1192,-0.16200,0.74940,0.31460
6.1792,-0.61850,0.50640,-0.26220
6.2316,-0.30150,0.09250,0.88600
6.2897,-1.01670,0.34010,0.72220
6.3494,-2.38930,-0.03710,1.52620
6.4092,-0.74440,-0.31750,0.52760
6.4695,0.33950,-0.17030,0.00960
6.5301,0.85460,-0.74240,0.02190
6.5897,-0.42730,-0.19090,-0.10000
6.6495,0.26380,-0.20180,-0.01260
6.7097,-0.15900,-1.11630,-0.66510
6.7695,0.52420,-0.01230,-1.27430
6.8299,0.67400,0.35080,-1.93370
6.8927,-0.14440,-1.01260,-1.51240
6.9501,-0.35590,-0.40830,-0.68360
7.0136,-0.48460,-0.09840,-0.10440
7.0747,0.05500,-0.19000,0.49690
7.1323,-0.34870,-0.17940,0.40640
7.1937,-0.17260,0.12990,0.36960
7.2493,-0.65450,0.14380,0.02670
7.3092,-0.49780,-0.11260,0.32920
7.3725,-1.40080,0.25480,-0.10860
7.4295,-0.30350,0.93340,-0.06070
7.4897,0.38370,0.41430,0.86530
7.5560,0.78440,-1.06370,0.81360
7.6099,0.01470,-1.54270,0.27580
7.6726,0.47180,-1.04970,0.11830
7.7307,0.23000,-0.22810,-0.13110
7.7899,0.18130,0.32020,0.14900
7.8492,0.25350,-0.03140,0.32890
7.9092,0.39510,-0.49610,0.36550
7.9693,0.43050,-0.36480,0.07120
8.0293,0.29110,-0.15630,0.04480
8.0907,0.07440,-0.18990,-0.03250
8.1491,0.06090,0.06640,-0.02900
8.2094,-0.06440,0.06020,0.04900
8.2718,-0.10050,0.13050,0.03780
8.3294,-0.16770,0.15130,0.01530
8.3919,-0.23410,0.05980,-0.00210
8.4491,-0.11790,-0.09800,0.08900
8.5092,-0.05030,0.20440,-0.02440
8.5699,-0.14430,0.12790,0.10990
8.6195,0.56890,0.01230,0.01370
