time,X_value,Y_value,Z_value
Started:,12月 09 2019,01:44:49:946, 
0.0000,0.00000,0.00000,0.00000
0.0007,0.69150,0.32140,0.17510
0.0481,-0.23060,-0.02160,-0.03680
0.1075,0.09720,0.05670,0.04190
0.1672,0.06690,0.05170,-0.01290
0.2273,0.09320,0.05360,0.01680
0.2872,0.06050,0.03920,-0.04550
0.3477,0.06200,0.04270,0.02690
0.3978,0.07180,-0.00030,0.04160
0.4572,0.01580,0.01580,0.06040
0.5177,0.09930,-0.05410,0.05480
0.5774,0.09810,-0.11480,0.05860
0.6369,0.07820,-0.05690,0.07020
0.6976,0.09620,-0.05830,0.02640
0.7572,0.04260,-0.16650,0.04930
0.8174,-0.10040,-0.34140,0.18420
0.8779,0.07650,-0.36660,0.25130
0.9373,0.06740,-0.28710,0.29710
0.9974,0.01580,-0.46310,0.51600
1.0569,0.11330,-0.33030,0.42820
1.1174,0.27030,-0.29180,0.33190
1.1775,0.08930,-0.37690,0.26790
1.2372,0.18020,-0.49790,0.49540
1.2975,0.40610,-0.41040,0.68010
1.3570,0.19970,-0.46210,0.98700
1.4173,0.39410,-0.06280,1.04330
1.4774,0.24420,-0.09030,0.99010
1.5372,0.62320,0.24140,0.56870
1.5974,1.02930,0.52550,0.06920
1.6569,0.71540,0.40470,-0.33200
1.7172,0.57910,0.13420,-0.17850
1.7771,0.36130,0.35290,0.06300
1.8370,0.44450,0.59160,0.25250
1.8980,0.00920,0.21380,0.56510
1.9570,-0.18950,0.22760,0.49400
2.0170,-0.00490,0.81780,0.28520
2.0772,0.80790,1.17410,-0.36020
2.1373,0.85730,1.62450,-0.69180
2.1974,0.82680,1.31960,-1.10610
2.2575,0.78910,1.32500,-1.19310
2.3175,0.66010,1.32530,-1.43450
2.3775,0.88400,1.22780,-2.29040
2.4374,1.16410,1.53180,-4.18740
2.4978,1.93790,2.58920,-8.58740
2.5576,-1.59180,4.49740,-14.40630
2.6174,-2.01660,0.90450,-12.06420
2.6775,13.97800,39.82090,-13.49320
2.7379,-4.85820,5.23010,3.62910
2.7980,-4.06420,2.29860,7.87230
2.8571,1.77590,4.36060,3.94880
2.9177,-0.93850,1.48650,3.07720
2.9773,0.46470,1.08330,2.80290
3.0372,0.42880,0.91440,1.99720
3.0971,0.17170,0.29240,1.42520
3.1589,0.85470,0.14950,0.67600
3.2172,0.89630,0.12540,0.27260
3.2774,0.78600,0.18780,-0.20980
3.3376,0.78750,-0.00220,-0.34670
3.3980,0.85790,-0.03340,-0.39810
3.4579,0.70600,-0.16030,-0.27060
3.5178,0.81320,-0.15300,-0.21500
3.5790,0.59400,-0.05980,-0.28190
3.6375,0.65810,-0.03680,-0.23780
3.6977,0.64190,-0.16230,-0.07230
3.7569,0.36260,-0.15160,-0.05500
3.8170,0.36130,0.06800,-0.06990
3.8776,0.12580,0.06510,-0.02730
3.9369,0.12760,0.05340,-0.06100
3.9974,0.01700,0.13560,-0.06850
4.0576,-0.08480,0.09490,0.02750
4.1177,0.01470,0.19430,0.20530
4.1772,-0.06540,0.30500,0.28440
4.2369,0.00100,0.48240,0.28850
4.2972,-0.10120,0.83670,0.22850
4.3569,-0.24010,1.59660,-0.21150
4.4169,-0.45070,1.85990,-0.55540
4.4776,-0.96970,1.92980,-0.72130
4.5371,-0.38570,2.07000,-0.76720
4.5971,-0.53020,1.32690,-0.94950
4.6572,0.37890,-0.22860,-0.02000
4.7172,0.45560,0.81000,-0.27960
4.7772,0.70000,0.09190,-0.50180
4.8374,0.04120,-1.41460,0.02560
4.8878,-0.03240,-1.46760,0.72500
4.9472,-0.12060,-1.55200,0.48430
5.0072,-0.37490,-2.08130,0.28770
5.0669,-0.90380,-3.61380,0.84480
5.1273,0.60880,-1.12390,1.20770
5.1869,0.73490,-1.12820,0.53420
5.2469,-0.33020,-0.88400,0.17130
5.3073,0.00920,-0.59900,0.26410
5.3672,-0.28450,-0.37630,0.21910
5.4272,-0.10600,-0.08420,0.11170
5.4876,0.08330,0.00110,0.06640
5.5490,0.02120,0.02710,-0.01860
5.6083,0.03620,-0.10280,0.02550
5.6674,-0.02590,-0.14430,0.00980
5.7273,0.11820,-0.08390,0.06050
5.7878,0.00620,-0.05110,0.01440
5.8480,-0.00220,-0.00420,-0.02090
5.9075,0.05030,-0.03080,0.03000
5.9672,-0.06740,-0.08400,0.06930
6.0298,0.00250,-0.07950,0.06420
6.0877,0.13010,0.04120,-0.03320
6.1474,0.18270,0.12200,-0.06170
6.2072,-0.00910,0.06100,-0.06090
6.2671,-0.02470,0.06380,-0.06380
6.3269,-0.01180,0.12450,-0.05420
6.3875,-0.03870,0.07990,-0.01550
6.4469,-0.09810,0.04670,0.01000
6.5075,-0.01250,0.10050,0.05480
6.5674,-0.01700,0.05110,0.07610
6.6272,-0.07020,0.04640,0.07650
6.6872,-0.04480,-0.00530,0.06300
6.7472,-0.02430,0.01800,0.02750
6.8079,-0.00010,-0.00980,-0.06400
6.8669,-0.00940,-0.02200,0.02450
6.9277,-0.02740,-0.01610,0.06190
6.9877,-0.01540,-0.02720,0.05150
7.0470,-0.10440,0.10150,-0.81270
