time,X_value,Y_value,Z_value
Started:,12月 09 2019,01:49:34:910, 
0.0000,0.00000,0.00000,0.00000
0.0032,-0.06720,-0.12180,-0.00740
0.0632,-0.10960,-0.13590,-0.01300
0.1236,0.07400,0.02960,-0.08210
0.1841,0.19630,0.09250,-0.04060
0.2432,0.07000,-0.05530,-0.00380
0.3035,-0.03250,-0.20280,-0.00250
0.3635,0.12200,-0.20710,0.20900
0.4235,0.04650,-0.47390,0.14680
0.4833,-0.14820,-0.77760,0.16400
0.5438,0.28210,-0.67850,0.20360
0.6035,-0.17100,-0.76680,0.17890
0.6637,0.30540,-0.58740,0.22570
0.7235,0.41960,-0.85330,0.00570
0.7837,0.38120,-0.79340,0.26130
0.8435,-0.02720,-0.26440,0.43140
0.9032,0.40700,-0.50690,0.33910
0.9636,-0.16720,-0.37090,0.82540
1.0238,-0.06480,-0.66950,0.97520
1.0833,0.06080,-0.67400,0.74610
1.1438,0.25050,0.36030,0.36060
1.2034,1.08280,1.04960,0.17200
1.2635,0.65110,0.97460,0.27380
1.3236,-0.37710,0.47700,0.45230
1.3839,-0.07620,0.78470,0.39780
1.4436,0.25060,1.38270,-0.57120
1.5036,0.81360,1.81310,-1.01770
1.5640,0.95860,2.33190,-1.97910
1.6239,1.49570,2.34960,-3.20720
1.6841,1.11510,2.51660,-5.30170
1.7436,-0.07530,1.87130,-14.43810
1.8038,3.77500,1.86010,-16.09730
1.8634,-2.79470,9.60880,-7.29900
1.9153,0.39480,58.33190,-38.18520
1.9732,15.85080,1.40280,2.59910
2.0338,-8.63030,-0.78890,10.68960
2.0932,4.22040,4.83260,5.41610
2.1535,-0.58620,0.13420,3.76520
2.2135,0.29050,1.61290,2.71760
2.2737,-0.16930,0.83370,1.76400
2.3332,0.86600,0.48930,1.20800
2.3938,0.34550,0.28740,0.81370
2.4535,0.25470,0.20590,0.33500
2.5135,0.75910,0.21610,-0.05080
2.5736,0.81470,0.10120,-0.18880
2.6345,0.68170,-0.07450,-0.27390
2.6934,0.89650,-0.19430,-0.23230
2.7533,0.65750,-0.32780,-0.24280
2.8133,0.64410,-0.26200,-0.03220
2.8739,0.58120,-0.38520,-0.02780
2.9336,0.29990,-0.36220,0.12990
2.9933,0.40370,-0.38450,0.24110
3.0533,0.22420,-0.29060,0.20560
3.1133,0.28250,-0.10070,0.25900
3.1736,0.17410,-0.11600,0.13250
3.2365,0.36290,0.35940,0.34110
3.2936,0.40790,0.22280,0.36900
3.3537,0.42310,0.39880,0.10350
3.4136,-0.01030,0.62970,-0.17450
3.4733,0.06600,0.80000,-0.29960
3.5334,0.15530,0.57870,0.06720
3.5933,-0.13830,0.63120,0.13630
3.6541,0.02870,0.35860,0.43780
3.7144,0.19400,0.75370,0.05080
3.7735,-0.12200,-0.32740,0.26740
3.8336,0.05020,-0.27220,-0.05740
3.8939,0.11590,0.30800,-0.39790
3.9534,0.40470,0.24430,-0.62720
4.0154,0.04190,-1.28990,-0.00770
4.0737,0.12140,-1.01740,0.14180
4.1338,-0.19870,-1.17680,0.13400
4.1939,-0.08810,-0.82480,-0.10820
4.2532,-0.02510,-0.93940,0.20190
4.3132,-0.13980,-0.58420,0.38890
4.3734,-0.01010,-0.09880,0.18380
4.4337,-0.20350,-0.30250,-0.04800
4.4949,-0.48410,-0.67450,-0.16830
4.5536,-0.24850,-0.55500,0.10180
4.6132,-0.39470,-0.30680,0.04020
4.6734,-0.09190,0.07100,0.07120
4.7341,-0.19230,0.35150,-0.03560
4.7933,-0.18180,0.09440,-0.08180
4.8535,0.04870,0.01060,0.08800
4.9135,0.25680,0.13120,0.23190
4.9732,-0.00900,-0.36450,0.38300
5.0333,-0.10570,-0.26860,0.10500
5.0938,0.05690,-0.07550,-0.06160
5.1533,0.11810,-0.02360,-0.03480
5.2133,0.06380,-0.10620,-0.03890
5.2733,0.07200,-0.05160,0.02760
5.3340,0.02470,0.01740,0.07580
5.3933,0.03080,-0.07000,0.07670
5.4537,-0.11670,0.08990,-0.18580
5.5132,0.00310,0.04820,0.04880
5.5738,-0.04230,0.11070,0.02690
5.6332,-0.03240,-0.00320,0.03860
5.6934,-0.00600,0.02590,-0.00260
5.7539,0.00240,0.08720,0.01660
5.8133,-0.07900,-0.00470,0.01950
5.8739,-0.09290,-0.06260,0.05380
5.9336,-0.08940,0.03630,-0.00220
5.9941,0.06630,0.02320,0.03250
6.0535,0.03110,-0.03680,0.04260
6.1138,0.05640,0.01520,0.02430
6.1736,-0.02760,-0.09680,-0.01920
6.2336,0.05090,-0.00500,-0.04570
6.2933,0.02950,0.04940,-0.02580
6.3533,-0.05000,0.03320,-0.07690
6.4132,-0.04580,0.00510,0.05050
6.4737,-0.16230,-0.08290,0.10520
6.5337,-0.07610,-0.02390,0.18350
6.5970,0.14070,0.29560,0.10290
6.6533,-0.18900,0.11900,-0.14460
6.7137,0.02690,-0.11680,-0.09550
6.7733,-0.03160,-0.33730,-0.05550
6.8342,0.05920,0.01020,0.03540
6.8935,0.07680,0.26500,0.01590
6.9535,-0.22890,-0.08610,-0.31330
7.0138,0.46760,0.08590,0.02580
