time,X_value,Y_value,Z_value
0,1.4254,0.8745,-1.1675
0.0501,1.2377,1.4834,-1.9578
0.1095,1.0535,1.496,-3.4377
0.1698,0.4656,2.1115,-5.1935
0.2295,0.6456,2.4804,-7.5933
0.29,1.2704,1.7632,-10.1309
0.3495,2.8212,0.9735,-10.2858
0.4104,3.9765,3.1926,-8.8488
0.4705,0.5398,-6.1443,-4.6318
0.5296,-0.9526,6.7025,-1.2668
0.5897,-6.9172,16.4116,1.1768
0.6522,-5.7184,1.9033,3.0345
0.7093,-2.4132,4.2626,0.8018
0.7712,-2.3845,3.7069,-1.2939
0.8296,-1.2749,2.0891,0.7796
0.8896,-1.1332,3.885,0.2312
0.9539,1.0001,2.9582,1.5586
1.0104,-0.0946,1.7216,1.346
1.0748,-0.2438,1.3615,0.7071
1.1299,0.1199,2.5165,0.0206
1.1898,0.332,1.459,0.1423
