Score ,ID,Phase,Person,Strike
630,42,pre,A,1
600,40,pre,A,1
552,41,pre,B,1
534,35,pre,B,1
516,38,pre,C,1
480,24,pre,A,1
480,36,pre,D,1
438,37,pre,A,0
432,39,pre,B,0
432,46,pre,B,0
408,33,pre,A,0
402,29,pre,B,0
384,26,pre,C,0
366,34,pre,C,0
360,44,pre,E,0
342,21,pre,D,0
336,25,pre,D,0
330,23,pre,C,0
330,32,pre,E,0
324,50,pre,C,0
312,27,pre,D,0
312,28,pre,E,0
300,45,pre,F,0
300,49,pre,F,0
294,47,pre,F,0
294,48,pre,F,0
276,22,pre,E,0
270,31,pre,D,0
270,30,pre,F,0
240,43,pre,E,0
