time,X_value,Y_value,Z_value
0,0.8482,2.701,0.1071
0.0606,0.7811,2.7733,-0.1397
0.1205,0.8085,2.0676,-0.9583
0.1811,0.3214,1.5297,-1.2204
0.2399,0.1012,1.3873,-1.5067
0.3028,0.7608,1.81,-2.3279
0.361,1.3749,2.1117,-4.852
0.4205,2.7023,2.8855,-8.8045
0.4801,-0.6342,7.6058,-14.4629
0.5401,2.3271,5.4676,-16.585
0.6006,9.882,48.3469,-8.8073
0.6604,-30.2608,-0.4763,20.4841
0.7202,1.3306,13.1422,12.6874
0.7824,2.6497,5.6326,6.7603
0.8399,-0.6033,1.6104,3.6168
0.9008,2.2341,1.2381,3.1226
0.9601,0.4367,0.66,1.7305
1.0198,1.1276,0.0762,1.5878
1.0803,0.4925,0.2227,1.0904
1.1398,0.5737,0.2496,0.858
1.2002,0.0403,-0.0016,0.5915
