time,X_value,Y_value,Z_value
Started:,12月 09 2019,01:52:29:700, 
0.0000,0.00000,0.00000,0.00000
0.0060,-0.01880,-0.07190,0.07390
0.0644,-0.07010,0.00480,0.06730
0.1242,0.05480,-0.00090,0.02400
0.1832,0.01930,-0.00640,-0.00130
0.2440,0.01420,0.03130,0.03620
0.3032,-0.00890,0.05420,0.02320
0.3634,-0.02300,0.02540,-0.00750
0.4240,-0.01640,0.07400,-0.08310
0.4735,0.03110,0.17620,-0.04470
0.5335,-0.05310,0.04590,0.02780
0.5937,-0.09900,0.07690,0.05140
0.6535,-0.03310,0.09350,0.07780
0.7138,-0.00370,-0.02960,0.04880
0.7741,0.04320,-0.09980,0.04290
0.8342,0.08530,-0.05760,0.04430
0.8936,0.06760,-0.08620,0.01530
0.9539,-0.05760,-0.11750,-0.03570
1.0133,-0.12970,-0.07150,-0.15760
1.0738,-0.02280,-0.09460,0.16670
1.1338,-0.15740,-0.16340,0.18460
1.1941,-0.04650,-0.25350,0.23920
1.2541,-0.08100,-0.13790,0.35780
1.3133,-0.26550,-0.37550,0.33850
1.3735,-0.32490,-0.82050,0.60370
1.4336,-0.62080,-2.11290,0.91740
1.4937,0.33020,-2.31860,1.40760
1.5536,0.88180,-1.80340,1.38530
1.6142,0.86360,-0.77880,1.30630
1.6735,0.43230,-1.05570,2.01580
1.7335,0.42870,-0.93850,2.69710
1.7940,0.72860,-0.37700,3.23230
1.8546,1.06840,0.58750,2.72330
1.9133,2.01000,1.97370,2.15010
1.9769,1.75750,3.24360,1.65970
2.0336,1.72340,3.28870,0.82010
2.0934,1.47890,2.89220,0.03870
2.1534,1.37290,2.64080,-0.86170
2.2134,1.15350,2.46660,-1.38020
2.2737,1.47090,2.83490,-2.43740
2.3334,2.41530,3.32810,-4.05620
2.3936,3.03070,4.07040,-6.32080
2.4534,3.26390,5.61400,-14.10830
2.5139,7.45160,10.52930,-19.10690
2.5733,7.13750,31.69490,-12.54490
2.6332,-35.84310,9.15580,11.34760
2.6938,-5.65540,13.43390,13.15740
2.7542,5.99940,11.57990,11.12250
2.8135,-4.34180,1.54730,7.19710
2.8733,-0.60010,3.77310,5.05910
2.9335,-0.49900,2.26760,3.24560
2.9935,-0.29180,1.57750,2.07050
3.0537,-0.29940,1.34480,1.47400
3.1135,0.34500,1.12690,1.16480
3.1738,0.35440,0.54880,0.67230
3.2346,-0.06880,0.33960,0.33490
3.2939,0.30790,0.07600,0.19380
3.3536,0.47100,0.05060,-0.02790
3.4135,0.56030,0.05030,-0.25850
3.4735,0.73370,-0.21110,-0.15390
3.5336,0.30290,-0.25740,-0.07770
3.5939,0.37900,-0.38950,0.05970
3.6535,0.33360,-0.15990,0.18150
3.7133,0.49250,-0.08750,0.33180
3.7735,0.39740,0.00190,0.39400
3.8341,0.14410,-0.03260,0.23910
3.8939,-0.15900,-0.01860,0.23730
3.9538,-0.19900,-0.06500,0.25310
4.0138,-0.24710,-0.01860,0.24640
4.0733,-0.22270,-0.07870,0.33860
4.1333,-0.20470,-0.07890,0.16790
4.1938,-0.09740,0.03080,0.03680
4.2533,-0.00350,0.02890,-0.00490
4.3136,-0.13370,0.04240,-0.09000
4.3736,-0.13410,0.00910,-0.00280
4.4333,-0.26530,0.09540,-0.00540
4.4933,-0.15520,0.21120,0.16480
4.5535,-0.19560,0.30580,0.24200
4.6138,-0.35310,0.33120,0.32190
4.6738,-0.23730,0.57530,0.50060
4.7333,-0.46990,0.61880,0.66500
4.7935,-0.30490,0.45960,0.65500
4.8535,-0.47230,0.60020,0.35770
4.9179,-0.21010,0.50520,-0.11000
4.9737,-0.29670,0.15350,-0.41920
5.0378,-0.42010,0.45650,-0.52370
5.0993,-0.64950,0.89700,-1.09550
5.1538,-0.26070,0.86670,-0.98840
5.2152,-0.28610,0.16010,-0.48310
5.2794,-0.56950,-0.29530,0.07330
5.3372,-0.47030,0.55070,-0.44160
5.3936,-0.66840,0.07180,-0.32290
5.4569,-0.11790,-0.71310,-0.12070
5.5038,0.01690,-0.12670,0.11520
5.5699,0.03600,0.02250,0.11830
5.6235,0.12180,-0.50920,-0.14940
5.6842,-0.08900,-1.30480,0.15730
5.7477,0.36540,-1.23010,0.28930
5.8043,0.35910,-0.76220,0.26720
5.8634,0.32310,-1.07280,0.09460
5.9271,0.32030,-1.05540,0.23390
5.9853,-0.03870,-0.81580,0.16100
6.0432,0.03900,-0.21300,0.18750
6.1033,-0.09440,0.00190,0.09750
6.1634,-0.31310,-0.18220,-0.06360
6.2236,-0.05410,-0.05170,0.00610
6.2843,-0.14230,-0.00120,0.02940
6.3446,-0.06410,0.05970,0.02630
6.4033,-0.16750,-0.10670,0.06630
6.4635,-0.05800,0.03070,0.00870
6.5233,-0.07910,-0.14780,0.03280
6.5833,-0.02800,0.08360,0.00820
6.6333,-0.09770,0.02100,0.04650
6.6945,-0.06320,-0.01800,0.07570
6.7538,-0.12990,0.04480,0.05560
6.8133,-0.06780,0.14950,0.03410
6.8755,-0.09650,-0.12420,0.13890
6.9337,-0.05670,-0.04590,0.08980
6.9832,-0.26720,0.00190,-0.08540
7.0441,0.12800,0.04000,-0.00960
