time,X_value,Y_value,Z_value
Started:,12月 09 2019,01:42:11:919, 
0.0000,0.00000,0.00000,0.00000
0.0049,0.07820,0.02330,0.10510
0.0647,0.02080,0.00860,0.05470
0.1247,0.03960,-0.06950,0.02610
0.1849,0.08820,-0.05570,0.02540
0.2445,0.10000,-0.05290,0.02500
0.3049,0.02370,-0.03500,0.04370
0.3558,0.02800,-0.04680,0.02300
0.4151,-0.00800,-0.05690,0.03060
0.4647,0.08180,-0.06830,0.08800
0.5247,0.03970,-0.05950,0.14400
0.5848,0.07500,-0.11070,-0.11400
0.6456,0.08030,-0.14550,-0.23570
0.7050,0.23410,0.03130,0.12100
0.7656,-0.23360,0.17660,0.39760
0.8251,-0.64820,-0.44380,0.39880
0.8847,0.28050,-0.69730,0.80600
0.9445,-0.17770,-0.22240,0.37580
1.0059,-0.05200,-0.10820,0.20540
1.0646,0.43430,-0.02010,-0.03860
1.1254,0.25200,0.05860,-0.22550
1.1851,0.54860,0.08040,-0.12680
1.2447,0.30800,-0.63750,0.76790
1.3048,0.03430,-1.33950,1.41920
1.3649,-0.16070,-1.45610,0.89620
1.4256,0.29150,0.38620,-0.08840
1.4848,0.56100,1.78970,-0.75980
1.5451,0.82450,1.66040,-0.49560
1.6046,-0.08810,0.32640,-0.20900
1.6647,-0.11990,-0.02020,-0.25960
1.7260,-0.17030,-0.08780,-0.17560
1.7847,-0.09120,0.02960,0.00330
1.8450,0.08120,0.23650,-0.04920
1.9053,0.18380,0.13600,0.01270
1.9651,-0.10380,-0.20950,-0.03120
2.0255,-0.00360,-0.32720,-0.24010
2.0853,-0.07970,-0.10550,-0.42920
2.1448,-0.09060,-0.23940,-0.38760
2.2049,-0.23190,-0.22050,-0.74820
2.2651,-0.15700,-0.15950,-1.02460
2.3251,-0.11850,-0.13250,-1.34790
2.3858,-0.17160,-0.36980,-1.37360
2.4453,0.19660,0.09890,-0.62930
2.5051,0.65220,-0.45670,-0.19820
2.5651,0.85550,0.46990,1.12740
