time,X_value,Y_value,Z_value
Started:,12月 09 2019,01:37:50:461, 
0.0000,0.00000,0.00000,0.00000
0.0027,0.12180,0.08410,0.02940
0.0632,0.11700,0.09320,-0.00100
0.1222,0.01090,0.02980,0.01030
0.1826,0.07320,0.07300,-0.05260
0.2419,-0.00240,0.05540,-0.00640
0.3021,-0.00290,0.04680,0.08260
0.3625,0.05860,0.22070,0.14890
0.4230,0.25120,0.14060,0.21460
0.4824,-0.06660,-0.03090,0.05780
0.5422,0.01140,0.38730,0.35940
0.6019,0.25330,0.56550,0.85510
0.6624,0.43690,0.89610,0.88600
0.7221,-0.35690,0.17700,0.37620
0.7827,0.10040,0.82560,0.03030
0.8423,1.16320,1.15220,0.48610
0.9025,0.51890,0.57110,-0.24560
0.9626,1.06580,-0.29390,-1.18010
1.0221,0.09310,-1.15510,-1.99040
1.0819,0.68510,-1.21280,-1.78270
1.1421,-0.10820,-0.79070,-1.46250
1.2028,-0.94830,-0.95200,-0.27860
1.2619,-1.73070,-1.69210,0.99780
1.3221,-1.60830,-1.04960,1.20480
1.3819,-1.08090,-0.34140,1.21910
1.4421,-0.90780,-0.51980,0.83390
1.5022,0.18000,0.40130,1.27580
1.5619,2.88170,1.12420,1.95770
1.6219,1.71450,0.38520,1.08650
1.6828,0.48680,0.37130,-0.30480
1.7425,1.57900,0.49580,0.49460
1.8020,2.46820,0.67590,2.22250
1.8621,2.51600,1.11270,2.54440
1.9223,1.56090,0.89980,1.78650
1.9828,1.06230,1.76140,0.09460
2.0425,0.01890,1.59460,-0.50370
2.1026,0.84400,2.67320,-0.66740
2.1630,1.46540,2.00270,-1.23580
2.2222,2.30310,1.98480,-1.38220
2.2824,2.18580,1.94380,-1.79000
2.3432,1.78170,1.94010,-2.88360
2.4024,2.55130,2.09100,-2.57010
2.4634,1.54320,1.99460,-2.90350
2.5223,2.33330,1.92140,-4.72770
2.5825,4.95600,2.35920,-8.52890
2.6436,8.16370,3.51730,-13.45290
2.7024,8.89390,4.67760,-15.44670
2.7622,6.59720,12.56200,-13.15570
2.8241,6.58650,54.00400,-30.12840
2.8829,-6.70340,10.60650,8.51130
2.9418,-3.75020,6.94680,13.06410
3.0024,-0.29650,6.61990,8.64450
3.0622,-1.49460,2.60450,7.23760
3.1219,-0.07370,1.47000,3.34550
3.1822,-0.33240,-0.03530,2.13650
3.2419,0.58490,-0.25200,0.56450
3.3037,0.41980,0.16140,0.18260
3.3626,-0.04050,0.47570,-0.54340
3.4222,-0.07810,-0.06270,0.18670
3.4829,-0.48900,-0.31900,0.52140
3.5422,0.17220,-0.01370,0.60730
3.6025,-0.22180,-0.22590,0.43440
3.6630,-0.34920,-0.48580,0.42610
3.7226,-0.12780,-0.22230,-0.00130
3.7823,0.04610,-0.04990,-0.42150
3.8424,-0.16720,0.38410,-0.77390
3.9023,-0.42790,0.06070,-0.41840
3.9619,-0.22980,0.02940,-0.22090
4.0228,0.10890,0.02860,0.12240
4.0829,-0.15490,0.33230,0.26960
4.1425,-0.09940,0.64490,0.41820
4.2030,-0.31850,0.41500,0.44920
4.2627,-0.32410,0.13910,0.47400
4.3223,-0.15750,0.05880,0.50050
4.3824,-0.19590,-0.15580,0.14490
4.4419,-0.30310,-0.34880,0.22330
4.5021,-0.05930,-0.20660,0.13240
4.5627,-0.09770,-0.19030,-0.23290
4.6225,0.03200,0.00600,-0.14270
4.6829,-0.12000,0.54990,-0.49940
4.7422,-0.09320,0.89870,-0.64550
4.8024,-0.20530,0.55120,-0.94830
4.8622,0.36760,0.57290,-0.82250
4.9225,0.39730,0.30170,-0.32030
4.9835,0.85910,0.00400,-0.22330
5.0429,0.24330,-0.37420,-0.15090
5.1027,0.49780,-0.13000,-0.17840
5.1624,0.72070,-1.06030,0.86960
5.2228,0.88160,-0.91600,1.09630
5.2822,0.44310,-1.02310,1.00850
5.3425,0.06600,-0.80490,0.79570
5.4023,0.24330,-0.57830,0.70080
5.4622,-0.88200,-0.63570,0.12540
5.5222,-0.44730,-0.41340,-0.14640
5.5829,-0.39860,-0.24530,-0.24180
5.6419,0.01400,-0.03660,-0.19870
5.7038,-0.35740,0.06990,-0.20260
5.7622,0.02350,-0.02430,-0.07880
5.8222,-0.00960,-0.10450,-0.23120
5.8727,0.10310,-0.33540,-0.18610
5.9325,0.04230,-0.41870,-0.21510
5.9928,0.24350,-0.28610,-0.04070
6.0523,0.16420,-0.04460,0.05330
6.1120,0.18890,0.09120,0.07960
6.1725,0.05250,0.16290,-0.02940
6.2327,-0.08340,0.10270,-0.04110
6.2919,-0.77060,-0.15370,0.44120
6.3522,-0.71770,-0.28000,0.08820
6.4122,-0.53910,-0.14610,-0.09700
6.4721,0.86370,0.11270,0.05180
6.5361,0.70900,0.46400,-0.05310
6.5928,0.42500,0.42850,-0.28660
6.6524,0.06260,0.28730,-0.28630
6.7122,-0.07670,0.22140,-0.01260
6.7732,-0.04270,0.30560,0.11660
6.8322,-0.07910,0.18400,0.06310
6.8919,-0.01560,0.11460,0.10820
6.9522,0.04110,0.03440,0.02130
7.0133,0.41260,-0.00420,0.19300
