time,X_value,Y_value,Z_value
Started:,12月 09 2019,01:28:33:342, 
0.0000,0.00000,0.00000,0.00000
0.0009,-0.14730,0.22420,-0.17370
0.0611,0.00720,0.12370,0.09200
0.1207,-0.10160,-0.05840,0.01830
0.1809,-0.25440,0.05270,-0.07150
0.2409,-0.39870,0.00590,0.24420
0.3007,-0.79030,-0.27660,0.90920
0.3604,-0.14900,-0.05720,1.39850
0.4207,0.19810,0.38300,1.51960
0.4812,0.27810,0.15330,2.26080
0.5406,0.59570,-0.14290,1.38110
0.6010,1.20840,-1.03900,0.26500
0.6623,1.22490,-0.44680,-0.77030
0.7207,1.86610,0.69540,-1.90280
0.7803,1.74250,1.38870,-3.41000
0.8409,1.26800,1.91510,-5.14590
0.9016,0.08160,2.17750,-7.19550
0.9605,-0.66120,1.79450,-8.04950
1.0207,1.07180,1.92820,-7.65860
1.0807,2.78420,1.22660,-6.37170
1.1407,1.13200,0.91750,-6.44160
1.2010,-3.08230,-12.15430,2.30530
1.2612,-2.08060,16.92590,-2.12490
1.3207,-5.94670,11.27510,1.94730
1.3807,-1.64150,-3.78850,4.19440
1.4407,-1.04510,3.35500,0.53330
1.5008,0.48910,2.13320,0.53990
1.5607,1.43700,0.07630,0.10770
1.6207,1.38640,1.85630,-1.10120
1.6824,0.39350,0.77290,-1.14530
1.7407,0.84170,0.13420,-0.73890
1.8004,-0.36330,0.57920,0.02170
1.8511,0.13100,1.20290,0.84130
1.9110,-0.43270,0.42130,2.38860
1.9710,-0.80530,1.31330,2.07030
2.0306,-0.25230,1.51540,1.13750
2.0912,0.36800,-0.28510,1.33940
2.1510,0.68960,-0.05510,0.16390
2.2106,0.81220,-0.08830,-1.39670
2.2705,0.89090,-0.24100,-0.70140
2.3320,0.66730,-0.08730,0.37260
2.3909,0.60180,-0.01280,0.81320
2.4528,0.05510,-0.40970,0.67630
2.5109,0.07570,-0.34540,-0.12930
2.5704,0.14960,-0.22410,-0.02420
2.6307,0.25400,-0.51970,-0.12690
2.6910,0.81430,0.18760,-0.01760
2.7505,1.30920,0.90470,0.08640
2.8118,0.98560,1.05740,0.08780
2.8706,0.77730,0.57460,0.55190
2.9313,0.55830,0.29640,0.21750
2.9906,0.72620,0.31640,-0.09100
3.0543,0.61130,-0.00240,-0.05030
3.1105,0.93480,0.08730,-0.53250
3.1733,0.66220,0.02860,-0.28810
3.2307,0.13540,-0.11660,0.04690
3.2909,0.13820,-0.38100,-0.20180
3.3513,-0.11960,-0.54330,-0.45480
3.4107,-0.67100,-0.64930,-0.50240
3.4707,-0.47050,-0.41370,-0.29910
3.5305,-1.21250,0.30980,-1.06190
3.5904,-0.12280,-0.53430,0.44990
3.6507,-0.36680,-0.73570,0.31820
3.7106,-0.36660,-0.31500,-0.14780
3.7706,-0.12070,-0.10480,-0.03760
3.8309,0.09920,-0.02790,-0.03780
3.8916,0.10680,0.02290,-0.18650
3.9540,0.35740,0.06990,-0.25410
4.0105,0.33470,0.09240,-0.23710
4.0704,0.43180,0.04490,0.05490
